wall_time,step,value
1765744706.2311115,3200,-1.488200068473816
1765744720.3489032,6400,-1.5451486110687256
1765744734.619984,9600,-1.5808930397033691
1765744749.0017645,12800,-1.6420986652374268
1765744763.5194054,16000,-1.6732646226882935
1765744778.0249698,19200,-1.740326166152954
1765744792.68524,22400,-1.8235172033309937
1765744807.4853756,25600,-1.8391300439834595
1765744822.662828,28800,-1.9049701690673828
1765744837.6833022,32000,-1.9491337537765503
1765744852.9341502,35200,-1.9975913763046265
1765744868.278525,38400,-2.0553362369537354
1765744883.9595175,41600,-2.118759870529175
1765744899.8598318,44800,-2.162047863006592
1765744916.0802011,48000,-2.195815086364746
1765744930.4462266,51200,-2.2380025386810303
1765744944.7761877,54400,-2.3240506649017334
1765744959.2073817,57600,-2.383652448654175
1765744973.7449784,60800,-2.4061455726623535
1765744988.2656064,64000,-2.4272818565368652
1765745002.9535768,67200,-2.5393388271331787
1765745017.7604194,70400,-2.566133737564087
1765745032.6671386,73600,-2.6098361015319824
1765745047.7073936,76800,-2.6954355239868164
1765745062.9566252,80000,-2.6742429733276367
1765745078.861375,83200,-2.801795244216919
1765745094.676109,86400,-2.8236215114593506
1765745110.4000487,89600,-2.9299941062927246
1765745126.3898275,92800,-2.94560170173645
1765745141.7797828,96000,-2.992171287536621
1765745156.1229558,99200,-3.03426456451416
1765745170.5103495,102400,-3.1474878787994385
1765745184.9847448,105600,-3.2255308628082275
1765745199.5660093,108800,-3.2428226470947266
1765745214.245745,112000,-3.2637593746185303
1765745229.2344763,115200,-3.294473886489868
1765745244.2523932,118400,-3.359116792678833
1765745259.381492,121600,-3.424682140350342
1765745274.5742319,124800,-3.512484073638916
1765745289.956883,128000,-3.547961473464966
1765745305.5041375,131200,-3.6208386421203613
1765745321.17153,134400,-3.6730315685272217
1765745336.9113853,137600,-3.6634671688079834
1765745353.4515066,140800,-3.723723888397217
1765745367.6427176,144000,-3.7841956615448
1765745381.8438883,147200,-3.8261284828186035
1765745396.2049117,150400,-3.9186649322509766
1765745410.8221376,153600,-3.9574038982391357
1765745425.5295894,156800,-4.0139336585998535
1765745440.3203478,160000,-4.082468509674072
1765745455.3072329,163200,-4.12497091293335
1765745470.380201,166400,-4.1798882484436035
1765745485.58975,169600,-4.221821308135986
1765745501.1127436,172800,-4.271035194396973
1765745516.4362662,176000,-4.333719730377197
1765745531.986865,179200,-4.383553981781006
1765745547.7036207,182400,-4.420385837554932
1765745563.3998334,185600,-4.4528350830078125
1765745579.0187805,188800,-4.539967060089111
1765745593.3298993,192000,-4.509145259857178
1765745607.871047,195200,-4.651165008544922
1765745622.5798726,198400,-4.711620807647705
1765745637.2648573,201600,-4.768607139587402
1765745652.2022755,204800,-4.792827606201172
1765745667.2670503,208000,-4.851285457611084
1765745682.522386,211200,-4.905292987823486
1765745697.8714352,214400,-4.966564655303955
1765745713.8821816,217600,-5.004412651062012
1765745729.5124042,220800,-5.0784831047058105
1765745745.051695,224000,-5.141433238983154
1765745760.483193,227200,-5.167418479919434
1765745776.2594378,230400,-5.243431568145752
1765745792.054201,233600,-5.2634711265563965
1765745807.230078,236800,-5.308401107788086
1765745821.3703928,240000,-5.382315635681152
1765745835.6064014,243200,-5.450460910797119
1765745850.0910273,246400,-5.494091033935547
1765745864.6639323,249600,-5.54487943649292
1765745879.4810803,252800,-5.587690353393555
1765745894.3111959,256000,-5.656144618988037
1765745909.2226014,259200,-5.72533655166626
1765745924.28902,262400,-5.763000011444092
1765745939.843537,265600,-5.821690082550049
1765745955.2021916,268800,-5.866971015930176
1765745970.6924193,272000,-5.927515983581543
1765745986.1822124,275200,-5.9793195724487305
1765746001.834937,278400,-6.04262638092041
1765746018.030806,281600,-6.095951557159424
1765746032.0519419,284800,-6.137776851654053
1765746046.262507,288000,-6.209169387817383
1765746060.6381671,291200,-6.235392093658447
1765746075.0735252,294400,-6.292994499206543
1765746089.7122958,297600,-6.349349021911621
1765746104.4246743,300800,-6.399012565612793
1765746119.296132,304000,-6.453222274780273
1765746134.3889582,307200,-6.504486560821533
1765746149.6707292,310400,-6.547120094299316
1765746165.1726923,313600,-6.577087879180908
1765746180.6506157,316800,-6.632848739624023
1765746196.1918914,320000,-6.718437194824219
1765746211.9864945,323200,-6.7893218994140625
1765746227.7137744,326400,-6.81730842590332
1765746243.274082,329600,-6.879335403442383
1765746258.1113122,332800,-6.9277729988098145
1765746272.7808511,336000,-6.993080139160156
1765746287.1839995,339200,-7.045632362365723
1765746301.6898572,342400,-7.104680061340332
1765746316.3584816,345600,-7.131876468658447
1765746331.069064,348800,-7.1948018074035645
1765746346.11165,352000,-7.2503156661987305
1765746361.2341447,355200,-7.29836368560791
1765746376.3260634,358400,-7.34945821762085
1765746391.6006958,361600,-7.407334804534912
1765746406.9626596,364800,-7.448490619659424
1765746422.464024,368000,-7.5106329917907715
1765746437.9468687,371200,-7.573835849761963
1765746454.008045,374400,-7.608247756958008
1765746468.954764,377600,-7.664156913757324
1765746483.0473201,380800,-7.730118751525879
1765746497.2732038,384000,-7.7722554206848145
1765746511.7616525,387200,-7.836641788482666
1765746526.3943856,390400,-7.8756632804870605
1765746541.2712226,393600,-7.927125930786133
1765746556.080008,396800,-7.9942450523376465
1765746571.1772573,400000,-8.049121856689453
1765746586.289061,403200,-8.094740867614746
1765746601.3740814,406400,-8.1463041305542
1765746616.6735518,409600,-8.192876815795898
1765746632.0959404,412800,-8.241098403930664
1765746647.6546488,416000,-8.278972625732422
1765746663.2899253,419200,-8.327095985412598
1765746679.3221457,422400,-8.38711929321289
1765746693.3845634,425600,-8.44625186920166
1765746707.6440108,428800,-8.494246482849121
1765746721.98796,432000,-8.55005168914795
1765746736.435342,435200,-8.609930992126465
1765746750.9833026,438400,-8.673501968383789
1765746765.745947,441600,-8.704671859741211
1765746780.6709704,444800,-8.767793655395508
1765746795.5921416,448000,-8.850342750549316
1765746810.5530677,451200,-8.897337913513184
1765746825.827432,454400,-8.935791969299316
1765746841.17191,457600,-8.982730865478516
1765746856.6272743,460800,-9.01897144317627
1765746872.1676888,464000,-9.069162368774414
1765746887.9392211,467200,-9.10865306854248
1765746903.756856,470400,-9.169018745422363
1765746917.9515638,473600,-9.212721824645996
1765746932.107266,476800,-9.29135799407959
1765746946.4261487,480000,-9.342324256896973
1765746960.8605642,483200,-9.411930084228516
1765746975.6274803,486400,-9.478415489196777
1765746990.3293662,489600,-9.501729011535645
1765747005.2401888,492800,-9.57685375213623
1765747020.1730895,496000,-9.61795425415039
1765747035.2872937,499200,-9.67490005493164
1765747050.4098735,502400,-9.717324256896973
1765747065.7839081,505600,-9.7452392578125
1765747081.2949452,508800,-9.84072494506836
1765747097.055101,512000,-9.867469787597656
1765747112.8642015,515200,-9.921000480651855
1765747127.6959329,518400,-9.986336708068848
1765747142.0348768,521600,-10.021514892578125
1765747156.52036,524800,-10.069758415222168
1765747171.210481,528000,-10.148702621459961
1765747185.949015,531200,-10.187503814697266
1765747200.6829028,534400,-10.25556755065918
1765747215.4099038,537600,-10.307768821716309
1765747230.2428803,540800,-10.35675048828125
1765747245.2857237,544000,-10.42536449432373
1765747260.5033662,547200,-10.494060516357422
1765747275.7077734,550400,-10.522912979125977
1765747291.0747674,553600,-10.540427207946777
1765747306.575615,556800,-10.607561111450195
1765747322.2519593,560000,-10.665310859680176
1765747338.187624,563200,-10.71628475189209
1765747352.272687,566400,-10.715010643005371
1765747366.777951,569600,-10.836376190185547
1765747381.1873636,572800,-10.883550643920898
1765747395.9227686,576000,-10.93618106842041
1765747410.942778,579200,-10.980484008789062
1765747426.011758,582400,-11.041836738586426
1765747441.7205405,585600,-11.09406852722168
1765747457.485937,588800,-11.143407821655273
1765747473.4359658,592000,-11.183268547058105
1765747489.6310616,595200,-11.191529273986816
1765747505.6921616,598400,-11.273488998413086
1765747521.6416297,601600,-11.316740989685059
1765747537.6182952,604800,-11.378138542175293
1765747553.9208584,608000,-11.433213233947754
1765747569.4371982,611200,-11.480427742004395
1765747583.793384,614400,-11.55329418182373
1765747598.090699,617600,-11.601469993591309
1765747612.5974896,620800,-11.673356056213379
1765747627.2940557,624000,-11.708269119262695
1765747642.1608865,627200,-11.770785331726074
1765747657.0049703,630400,-11.800143241882324
1765747671.819898,633600,-11.846092224121094
1765747687.0369713,636800,-11.891468048095703
1765747702.3508534,640000,-11.92086410522461
1765747717.652443,643200,-11.982515335083008
1765747732.9603596,646400,-12.057245254516602
1765747748.3189614,649600,-12.107924461364746
1765747763.8659303,652800,-12.143743515014648
1765747780.5648942,656000,-12.194319725036621
1765747794.7859628,659200,-12.245857238769531
1765747809.1810863,662400,-12.292377471923828
1765747823.7664993,665600,-12.377395629882812
1765747838.228453,668800,-12.409480094909668
1765747852.7865214,672000,-12.450088500976562
1765747867.5197892,675200,-12.504350662231445
1765747882.3659952,678400,-12.5823392868042
1765747897.168742,681600,-12.609589576721191
1765747912.14328,684800,-12.662067413330078
1765747927.4177647,688000,-12.686022758483887
1765747942.7810595,691200,-12.770526885986328
1765747958.225913,694400,-12.801246643066406
1765747973.7438352,697600,-12.857712745666504
1765747989.4255793,700800,-12.88442611694336
1765748004.9795694,704000,-12.937496185302734
1765748018.9865594,707200,-12.972746849060059
1765748033.1181786,710400,-13.05921459197998
1765748047.3911557,713600,-13.116842269897461
1765748062.073732,716800,-13.14547061920166
1765748076.5257719,720000,-13.20511531829834
1765748091.192384,723200,-13.24553108215332
1765748105.9419541,726400,-13.3043794631958
1765748120.8530474,729600,-13.359097480773926
1765748135.9522526,732800,-13.346152305603027
1765748151.1516047,736000,-13.429195404052734
1765748166.4984818,739200,-13.477807998657227
1765748182.0669713,742400,-13.542654037475586
1765748197.8230119,745600,-13.594371795654297
1765748213.6800354,748800,-13.613199234008789
1765748228.6979575,752000,-13.697794914245605
1765748242.888485,755200,-13.735918045043945
1765748257.4563549,758400,-13.794236183166504
1765748272.3795424,761600,-13.840916633605957
1765748287.199422,764800,-13.892410278320312
1765748301.9699662,768000,-13.943655014038086
1765748316.7804673,771200,-13.998144149780273
1765748331.8899891,774400,-14.023138999938965
1765748346.7588403,777600,-14.096169471740723
1765748361.8402975,780800,-14.143424987792969
1765748376.9512594,784000,-14.204251289367676
1765748392.3910894,787200,-14.251121520996094
1765748407.8862884,790400,-14.29714584350586
1765748423.511237,793600,-14.352230072021484
1765748439.554012,796800,-14.394969940185547
1765748453.6413357,800000,-14.455286979675293
1765748467.7079167,803200,-14.506877899169922
1765748481.9007072,806400,-14.577981948852539
1765748496.230833,809600,-14.608259201049805
1765748510.7158024,812800,-14.657054901123047
1765748525.4077945,816000,-14.716069221496582
1765748540.1360927,819200,-14.77243423461914
1765748554.9857352,822400,-14.840506553649902
1765748569.9445288,825600,-14.884021759033203
1765748584.984097,828800,-14.9346342086792
1765748600.2460303,832000,-14.98411750793457
1765748615.5522838,835200,-15.012743949890137
1765748631.089402,838400,-15.046213150024414
1765748646.725062,841600,-15.108095169067383
1765748662.3858502,844800,-15.16916561126709
1765748676.3972929,848000,-15.232884407043457
1765748690.4594605,851200,-15.288040161132812
1765748704.7393415,854400,-15.334704399108887
1765748719.0448148,857600,-15.405960083007812
1765748733.493968,860800,-15.43856143951416
1765748748.0930843,864000,-15.522133827209473
1765748762.9269152,867200,-15.539231300354004
1765748777.8184133,870400,-15.60551643371582
1765748793.1210454,873600,-15.65402603149414
1765748808.167472,876800,-15.669032096862793
1765748823.3881009,880000,-15.742181777954102
1765748838.6306536,883200,-15.79382610321045
1765748854.1971555,886400,-15.830309867858887
1765748869.7550347,889600,-15.87165641784668
1765748884.648931,892800,-15.921487808227539
1765748898.6803079,896000,-15.999341011047363
1765748912.7519693,899200,-16.044963836669922
1765748926.9199185,902400,-16.08591079711914
1765748941.2403111,905600,-16.151575088500977
1765748955.5360591,908800,-16.21584701538086
1765748970.195252,912000,-16.276687622070312
1765748985.0134525,915200,-16.327495574951172
1765748999.8855276,918400,-16.383859634399414
1765749014.8418884,921600,-16.420673370361328
1765749029.9648523,924800,-16.46882438659668
1765749045.3291903,928000,-16.526887893676758
1765749060.6334689,931200,-16.5627384185791
1765749076.1314163,934400,-16.590839385986328
1765749091.9625542,937600,-16.584787368774414
1765749105.941258,940800,-16.694461822509766
1765749119.96094,944000,-16.762285232543945
1765749134.2018201,947200,-16.82756996154785
1765749148.5290895,950400,-16.849523544311523
1765749163.0691013,953600,-16.926212310791016
1765749177.5691235,956800,-16.984750747680664
1765749192.341986,960000,-17.03050422668457
1765749207.0879087,963200,-17.071548461914062
1765749222.0511835,966400,-17.12441062927246
1765749237.4713538,969600,-17.191001892089844
1765749252.6585917,972800,-17.22822380065918
1765749267.9922504,976000,-17.26662826538086
1765749283.3395057,979200,-17.31040382385254
1765749298.704198,982400,-17.38015365600586
1765749313.9417899,985600,-17.419239044189453
1765749327.862672,988800,-17.480892181396484
1765749342.03206,992000,-17.547374725341797
1765749356.2659204,995200,-17.598413467407227
1765749370.6539688,998400,-17.633691787719727
