wall_time,step,value
1765755816.1301434,3200,-14.548595428466797
1765755831.181931,6400,-15.060436248779297
1765755846.4740787,9600,-15.574210166931152
1765755861.8977382,12800,-16.060728073120117
1765755877.4216383,16000,-16.56021499633789
1765755893.0378473,19200,-17.05725860595703
1765755908.7623713,22400,-17.562381744384766
1765755925.3901837,25600,-18.10540199279785
1765755941.4402983,28800,-18.661144256591797
1765755957.4779994,32000,-19.141464233398438
1765755973.9522824,35200,-19.636323928833008
1765755990.4483852,38400,-20.18387222290039
1765756007.0270164,41600,-20.69147491455078
1765756023.6917312,44800,-21.2337646484375
1765756043.4943419,48000,-21.750030517578125
1765756058.6491137,51200,-22.328664779663086
1765756073.8696105,54400,-22.884729385375977
1765756089.1016204,57600,-23.427980422973633
1765756104.5465016,60800,-23.907176971435547
1765756120.1517577,64000,-24.445463180541992
1765756135.8084064,67200,-24.9515323638916
1765756151.5358794,70400,-25.39594268798828
1765756167.602411,73600,-25.902851104736328
1765756183.648369,76800,-26.386301040649414
1765756199.8604066,80000,-26.896177291870117
1765756216.286966,83200,-27.344614028930664
1765756232.6693006,86400,-27.79945182800293
1765756249.5589337,89600,-28.29060173034668
1765756266.3611193,92800,-28.821317672729492
1765756286.3451023,96000,-29.33869743347168
1765756301.5649803,99200,-29.88399887084961
1765756316.6898346,102400,-30.44533920288086
1765756332.010299,105600,-30.967531204223633
1765756347.547139,108800,-31.47459602355957
1765756363.0676925,112000,-32.007080078125
1765756378.753402,115200,-32.50333786010742
1765756394.487252,118400,-33.03370666503906
1765756410.4712653,121600,-33.50906753540039
1765756426.6113446,124800,-34.031593322753906
1765756442.8750257,128000,-34.58375549316406
1765756459.192329,131200,-35.19804763793945
1765756475.7009046,134400,-35.7141227722168
1765756492.343783,137600,-36.300445556640625
1765756509.775375,140800,-36.80241012573242
1765756528.4820263,144000,-37.28847885131836
1765756543.7352414,147200,-37.77260971069336
1765756559.0370698,150400,-38.285823822021484
1765756574.4564345,153600,-38.80916213989258
1765756590.0354176,156800,-39.32878875732422
1765756605.7328475,160000,-39.80842971801758
1765756621.4494457,163200,-40.37135314941406
1765756637.2789867,166400,-40.93184280395508
1765756653.2895403,169600,-41.515403747558594
1765756669.4175754,172800,-42.00703048706055
1765756685.7010555,176000,-42.56388854980469
1765756702.4080143,179200,-43.06912612915039
1765756718.8490152,182400,-43.5892333984375
1765756735.576217,185600,-44.1264762878418
1765756755.064491,188800,-44.63856506347656
1765756770.0085647,192000,-45.13077163696289
1765756785.1932392,195200,-45.63726806640625
1765756800.6851158,198400,-46.21220779418945
1765756816.1346343,201600,-46.77117156982422
1765756831.709134,204800,-47.35470962524414
